group_z,x,y,west,south,east,north,decoded_tiles,absent_tiles,land_tiles,water_tiles,waterway_tiles,boundary_tiles,road_tiles,place_tiles
3,0,0,-180.000000,79.171335,-135.000000,85.051129,0,256,0,0,0,0,0,0
3,1,0,-135.000000,79.171335,-90.000000,85.051129,19,237,19,0,0,0,0,0
3,2,0,-90.000000,79.171335,-45.000000,85.051129,139,117,139,3,0,0,0,1
3,3,0,-45.000000,79.171335,0.000000,85.051129,109,147,109,0,0,0,0,1
3,4,0,0.000000,79.171335,45.000000,85.051129,23,233,23,0,0,0,0,0
3,5,0,45.000000,79.171335,90.000000,85.051129,34,222,34,0,0,0,0,0
3,6,0,90.000000,79.171335,135.000000,85.051129,18,238,18,0,0,0,0,0
3,7,0,135.000000,79.171335,180.000000,85.051129,0,256,0,0,0,0,0,0
3,0,1,-180.000000,66.513260,-135.000000,79.171335,57,199,57,3,16,3,5,6
3,1,1,-135.000000,66.513260,-90.000000,79.171335,193,63,193,37,10,0,0,8
3,2,1,-90.000000,66.513260,-45.000000,79.171335,207,49,207,9,1,0,0,15
3,3,1,-45.000000,66.513260,0.000000,79.171335,149,107,149,0,0,0,0,1
3,4,1,0.000000,66.513260,45.000000,79.171335,73,183,73,21,17,14,21,14
3,5,1,45.000000,66.513260,90.000000,79.171335,133,123,133,9,21,0,0,16
3,6,1,90.000000,66.513260,135.000000,79.171335,184,72,184,20,72,0,0,12
3,7,1,135.000000,66.513260,180.000000,79.171335,111,145,111,14,22,0,0,5
3,0,2,-180.000000,40.979898,-135.000000,66.513260,107,149,107,28,41,9,20,21
3,1,2,-135.000000,40.979898,-90.000000,66.513260,239,17,239,140,166,20,104,78
3,2,2,-90.000000,40.979898,-45.000000,66.513260,183,73,183,79,65,15,50,54
3,3,2,-45.000000,40.979898,0.000000,66.513260,66,190,66,5,8,6,34,29
3,4,2,0.000000,40.979898,45.000000,66.513260,239,17,239,108,153,103,210,127
3,5,2,45.000000,40.979898,90.000000,66.513260,256,0,256,92,158,60,152,92
3,6,2,90.000000,40.979898,135.000000,66.513260,256,0,256,45,148,50,143,86
3,7,2,135.000000,40.979898,180.000000,66.513260,153,103,153,9,39,1,37,29
3,0,3,-180.000000,0.000000,-135.000000,40.979898,18,238,18,0,0,0,0,2
3,1,3,-135.000000,0.000000,-90.000000,40.979898,105,151,105,41,62,16,87,64
3,2,3,-90.000000,0.000000,-45.000000,40.979898,126,130,126,25,66,40,83,79
3,3,3,-45.000000,0.000000,0.000000,40.979898,93,163,93,8,29,52,65,56
3,4,3,0.000000,0.000000,45.000000,40.979898,248,8,248,38,91,119,211,150
3,5,3,45.000000,0.000000,90.000000,40.979898,188,68,188,34,80,79,161,107
3,6,3,90.000000,0.000000,135.000000,40.979898,210,46,210,38,103,48,168,131
3,7,3,135.000000,0.000000,180.000000,40.979898,47,209,47,1,0,0,8,10
3,0,4,-180.000000,-40.979898,-135.000000,0.000000,57,199,57,0,0,0,0,5
3,1,4,-135.000000,-40.979898,-90.000000,0.000000,8,248,8,0,0,0,0,1
3,2,4,-90.000000,-40.979898,-45.000000,0.000000,164,92,164,25,122,56,135,117
3,3,4,-45.000000,-40.979898,0.000000,0.000000,34,222,34,6,17,0,24,23
3,4,4,0.000000,-40.979898,45.000000,0.000000,136,120,136,32,85,66,110,92
3,5,4,45.000000,-40.979898,90.000000,0.000000,30,226,30,1,5,0,10,12
3,6,4,90.000000,-40.979898,135.000000,0.000000,114,142,114,19,15,1,64,46
3,7,4,135.000000,-40.979898,180.000000,0.000000,146,110,146,15,29,4,62,50
3,0,5,-180.000000,-66.513260,-135.000000,-40.979898,1,255,1,0,0,0,0,0
3,1,5,-135.000000,-66.513260,-90.000000,-40.979898,0,256,0,0,0,0,0,0
3,2,5,-90.000000,-66.513260,-45.000000,-40.979898,53,203,53,8,12,12,15,15
3,3,5,-45.000000,-66.513260,0.000000,-40.979898,10,246,10,0,0,0,0,0
3,4,5,0.000000,-66.513260,45.000000,-40.979898,2,254,2,0,0,0,0,0
3,5,5,45.000000,-66.513260,90.000000,-40.979898,10,246,10,1,0,0,0,0
3,6,5,90.000000,-66.513260,135.000000,-40.979898,14,242,14,0,0,0,0,0
3,7,5,135.000000,-66.513260,180.000000,-40.979898,24,232,24,9,6,0,10,9
3,0,6,-180.000000,-79.171335,-135.000000,-66.513260,52,204,52,0,0,0,0,0
3,1,6,-135.000000,-79.171335,-90.000000,-66.513260,148,108,148,0,0,0,0,0
3,2,6,-90.000000,-79.171335,-45.000000,-66.513260,127,129,127,0,0,0,0,0
3,3,6,-45.000000,-79.171335,0.000000,-66.513260,118,138,118,0,0,0,0,0
3,4,6,0.000000,-79.171335,45.000000,-66.513260,215,41,215,0,0,0,0,0
