member	dbf_records	easting_min	northing_min	easting_max	northing_max
data/HP_RoadLink.shp	363	450607.73	1198673	467411.2	1216649
data/HT_RoadLink.shp	20	395777	1137076.77	397487.26	1141236.34
data/HU_RoadLink.shp	5307	417072.51	1107878.88	468964.82	1202665
data/HY_RoadLink.shp	4980	320187.87	999504	378691.61	1056011.78
data/HZ_RoadLink.shp	20	419764	1069800	422518.53	1074066.88
data/NA_RoadLink.shp	10	9123	899133	100789.6	929405
data/NB_RoadLink.shp	3417	99169.6	899844.59	200559	966448.42
data/NC_RoadLink.shp	4007	197965.14	897548	303922	974728.35
data/ND_RoadLink.shp	5843	298723.92	913071.78	352556.71	1002503.74
data/NF_RoadLink.shp	1737	9123	799621.35	101259.93000000001	900160.53
data/NG_RoadLink.shp	6622	99885	795966.12	202683.56	900446
data/NH_RoadLink.shp	27306	190571.71	795594.0800000001	302032.34	901338
data/NJ_RoadLink.shp	55123	298529	797372.9500000001	401451.65	871267.06
data/NK_RoadLink.shp	4444	398766	824424.8200000001	413997.94	867419.3300000001
data/NL_RoadLink.shp	361	62437.42	738914.51	101052.45	800311.99
data/NM_RoadLink.shp	6889	99546.1	698357.77	206354.76	800452.4400000001
data/NN_RoadLink.shp	17324	192147.79	696679.88	306104	805219
data/NO_RoadLink.shp	56841	295484.91000000003	698491.3200000001	394799.64	802480
data/NR_RoadLink.shp	6601	116005.04000000001	606993	202943.62	701008.6
data/NS_RoadLink.shp	158492	195096	597002.64	303464.55	703596
data/NT_RoadLink.shp	82341	295488.07	593212.21	401724	701998.93
data/NU_RoadLink.shp	7482	397638	598818	428639	654207.97
data/NW_RoadLink.shp	267	196376.34	553785	200549.15	572634.64
data/NX_RoadLink.shp	24769	198255.39	505974.69	301079.2	602358
data/NY_RoadLink.shp	52835	298441.76	493242.93	403188.42	602803.58
data/NZ_RoadLink.shp	177016	397807.21	497219.29000000004	499865.25	601698
data/SD_RoadLink.shp	236893	304630.13	398997.28	403073.18	504531.62
data/SE_RoadLink.shp	240304	397733	398779.05	504586.56	503373
data/SH_RoadLink.shp	46990	213986	298239.57	301406.77	394736.41000000003
data/SJ_RoadLink.shp	323309	297679	298336.8	406874.23	402250.26
data/SK_RoadLink.shp	258673	396560.01	284391.32	502296.78	404805.76
data/SM_RoadLink.shp	9474	172404.74	198906.79	201763	241301.45
data/SN_RoadLink.shp	58751	198738.37	199083.27000000002	302068	302055.48
data/SO_RoadLink.shp	167851	298400	189835.09	403171.05	303401.72000000003
data/SP_RoadLink.shp	266735	397289.72000000003	197325.80000000002	502152.15	302654.72000000003
data/SR_RoadLink.shp	521	188368	192700.75	200388	201024
data/SS_RoadLink.shp	71254	199283	93609.05	305484.93	202991.78
data/ST_RoadLink.shp	212758	296640.38	93609.05	409814.7	206370.75
data/SU_RoadLink.shp	250986	392217.79000000004	98331.42	501272.69	203130.17
data/SV_RoadLink.shp	349	87441.91	8045.93	93482.77	16236.44
data/SW_RoadLink.shp	39434	134247.66	11457.47	201180.47	81106.88
data/SX_RoadLink.shp	84654	197339.72	35346.47	305707.55	107352.89
data/SY_RoadLink.shp	27827	299166.77	68408.92	401562.92	101282.22
data/SZ_RoadLink.shp	40269	398639.75	75413.24	498059	102867.5
data/TA_RoadLink.shp	50114	496118.85000000003	397653.17	542117.76	498673.46
data/TF_RoadLink.shp	75145	497443.68	298664.5	600920.43	401424.73
data/TG_RoadLink.shp	41780	598544	298000.23	653476.56	345212.25
data/TL_RoadLink.shp	197156	496212.78	195515.89	603065.04	301449.48
data/TM_RoadLink.shp	63836	597923.61	199514.67	655563	304409.01
data/TQ_RoadLink.shp	452943	495602.19	99033.84	601735.91	203153.48
data/TR_RoadLink.shp	36906	586009.34	116618.62	640145.72	201743.44
data/TV_RoadLink.shp	2496	546540.14	95422.49	562497	101417.62
