member	compressed_bytes	uncompressed_bytes
data/HP_RoadLink.shp	23366	110060
data/HP_RoadNode.shp	3936	14840
data/HT_RoadLink.shp	1666	6692
data/HT_RoadNode.shp	359	1024
data/HU_RoadLink.shp	331347	1567180
data/HU_RoadNode.shp	55421	215436
data/HY_RoadLink.shp	280347	1334116
data/HY_RoadNode.shp	52252	199728
data/HZ_RoadLink.shp	2346	10404
data/HZ_RoadNode.shp	334	980
data/NA_RoadLink.shp	1628	6676
data/NA_RoadNode.shp	219	540
data/NB_RoadLink.shp	229231	1067036
data/NB_RoadNode.shp	35233	134520
data/NC_RoadLink.shp	374031	1682156
data/NC_RoadNode.shp	41410	158148
data/ND_RoadLink.shp	333889	1604556
data/ND_RoadNode.shp	57553	225732
data/NF_RoadLink.shp	119303	544060
data/NF_RoadNode.shp	19144	72084
data/NG_RoadLink.shp	535667	2430612
data/NG_RoadNode.shp	70348	268984
data/NH_RoadLink.shp	1982303	9254996
data/NH_RoadNode.shp	263411	1044352
data/NJ_RoadLink.shp	3208404	15682316
data/NJ_RoadNode.shp	502431	2026828
data/NK_RoadLink.shp	231170	1152196
data/NK_RoadNode.shp	40170	161536
data/NL_RoadLink.shp	23529	107580
data/NL_RoadNode.shp	3880	14180
data/NM_RoadLink.shp	658992	2970716
data/NM_RoadNode.shp	70887	272548
data/NN_RoadLink.shp	1550869	7109700
data/NN_RoadNode.shp	170111	662916
data/NO_MotorwayJunction.shp	144	364
data/NO_RoadLink.shp	3285483	16131804
data/NO_RoadNode.shp	520265	2105940
data/NR_RoadLink.shp	592355	2676892
data/NR_RoadNode.shp	67040	257544
data/NS_MotorwayJunction.shp	1233	3796
data/NS_RoadLink.shp	8621900	43427844
data/NS_RoadNode.shp	1373730	5768764
data/NT_MotorwayJunction.shp	365	936
data/NT_RoadLink.shp	4702610	23394428
data/NT_RoadNode.shp	730327	3038388
data/NU_RoadLink.shp	440682	2136340
data/NU_RoadNode.shp	70291	281084
data/NW_RoadLink.shp	18497	84844
data/NW_RoadNode.shp	2649	9956
data/NX_RoadLink.shp	1775986	8337916
data/NX_RoadNode.shp	235963	932856
data/NY_MotorwayJunction.shp	295	760
data/NY_RoadLink.shp	3327270	15966220
data/NY_RoadNode.shp	499667	1977064
data/NZ_MotorwayJunction.shp	262	672
data/NZ_RoadLink.shp	8467730	44834852
data/NZ_RoadNode.shp	1481110	6403640
data/SD_MotorwayJunction.shp	961	2916
data/SD_RoadLink.shp	10949294	58821852
data/SD_RoadNode.shp	1945590	8460948
data/SE_MotorwayJunction.shp	938	2872
data/SE_RoadLink.shp	11634481	60946244
data/SE_RoadNode.shp	2102676	8917668
data/SH_RoadLink.shp	3001869	14377652
data/SH_RoadNode.shp	448139	1780296
data/SJ_MotorwayJunction.shp	1249	3972
data/SJ_RoadLink.shp	15741522	82529948
data/SJ_RoadNode.shp	2771237	11807148
data/SK_MotorwayJunction.shp	509	1420
data/SK_RoadLink.shp	13048425	67002524
data/SK_RoadNode.shp	2319066	9729336
data/SM_RoadLink.shp	554692	2646324
data/SM_RoadNode.shp	91495	356984
data/SN_MotorwayJunction.shp	76	188
data/SN_RoadLink.shp	3978465	18660780
data/SN_RoadNode.shp	585358	2260028
data/SO_MotorwayJunction.shp	393	1024
data/SO_RoadLink.shp	9510266	47009292
data/SO_RoadNode.shp	1558230	6352028
data/SP_MotorwayJunction.shp	737	2168
data/SP_RoadLink.shp	13543468	69119724
data/SP_RoadNode.shp	2411669	10014148
data/SR_RoadLink.shp	34741	161884
data/SR_RoadNode.shp	4791	17744
data/SS_MotorwayJunction.shp	268	672
data/SS_RoadLink.shp	4057138	19838388
data/SS_RoadNode.shp	656160	2626504
data/ST_MotorwayJunction.shp	686	1904
data/ST_RoadLink.shp	11392509	56907924
data/ST_RoadNode.shp	1950367	7954508
data/SU_MotorwayJunction.shp	783	2256
data/SU_RoadLink.shp	13411502	67018708
data/SU_RoadNode.shp	2310610	9467228
data/SV_RoadLink.shp	23577	108988
data/SV_RoadNode.shp	3542	13212
data/SW_RoadLink.shp	2275947	10838644
data/SW_RoadNode.shp	383980	1487784
data/SX_MotorwayJunction.shp	91	232
data/SX_RoadLink.shp	4955666	23899924
data/SX_RoadNode.shp	792910	3148344
data/SY_RoadLink.shp	1560726	7631404
data/SY_RoadNode.shp	263563	1045980
data/SZ_RoadLink.shp	2003103	10217372
data/SZ_RoadNode.shp	360968	1482460
data/TA_MotorwayJunction.shp	51	144
data/TA_RoadLink.shp	2450651	12701556
data/TA_RoadNode.shp	444667	1862840
data/TF_RoadLink.shp	4012703	19841884
data/TF_RoadNode.shp	713318	2825780
data/TG_RoadLink.shp	2162937	10850628
data/TG_RoadNode.shp	382621	1550000
data/TL_MotorwayJunction.shp	658	1860
data/TL_RoadLink.shp	10525061	52536228
data/TL_RoadNode.shp	1837340	7511736
data/TM_RoadLink.shp	3467843	17098148
data/TM_RoadNode.shp	597392	2393040
data/TQ_MotorwayJunction.shp	941	2784
data/TQ_RoadLink.shp	22602991	116173644
data/TQ_RoadNode.shp	3923809	16496492
data/TR_MotorwayJunction.shp	212	496
data/TR_RoadLink.shp	1975557	9854740
data/TR_RoadNode.shp	332594	1355036
data/TV_RoadLink.shp	118221	620900
data/TV_RoadNode.shp	20020	84844
