artifacts/world-roads/gb/hp.pmtiles: decoded=317, absent=903, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 251, 867, 1107, 0]
artifacts/world-roads/gb/ht.pmtiles: decoded=33, absent=20, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 0, 57, 62, 0]
artifacts/world-roads/gb/hu.pmtiles: decoded=3000, absent=14881, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 4103, 9922, 16115, 0]
artifacts/world-roads/gb/hy.pmtiles: decoded=2532, absent=9018, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 3772, 10032, 14470, 0]
artifacts/world-roads/gb/hz.pmtiles: decoded=35, absent=39, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 0, 91, 44, 0]
artifacts/world-roads/gb/na.pmtiles: decoded=55, absent=11076, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 0, 67, 23, 0]
artifacts/world-roads/gb/nb.pmtiles: decoded=2232, absent=20455, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 3282, 6471, 10132, 0]
artifacts/world-roads/gb/nc.pmtiles: decoded=5368, absent=20099, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 5660, 6208, 14890, 0]
artifacts/world-roads/gb/nd.pmtiles: decoded=3370, absent=11909, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 4673, 10068, 18698, 0]
artifacts/world-roads/gb/nf.pmtiles: decoded=1430, absent=26673, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 1959, 3715, 4789, 0]
artifacts/world-roads/gb/ng.pmtiles: decoded=5106, absent=29687, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 7325, 11184, 20897, 0]
