source_id,accepted_features,rejected_records
us-census-tiger-2025-roads-34001,8640,275
us-census-tiger-2025-roads-34003,14377,157
us-census-tiger-2025-roads-34005,12746,357
us-census-tiger-2025-roads-34007,9927,206
us-census-tiger-2025-roads-34009,4173,180
us-census-tiger-2025-roads-34011,3838,500
us-census-tiger-2025-roads-34013,7979,42
us-census-tiger-2025-roads-34015,7319,140
us-census-tiger-2025-roads-34017,3079,46
us-census-tiger-2025-roads-34019,4523,294
us-census-tiger-2025-roads-34021,6923,224
us-census-tiger-2025-roads-34023,15284,164
us-census-tiger-2025-roads-34025,18044,180
us-census-tiger-2025-roads-34027,11981,989
us-census-tiger-2025-roads-34029,16667,633
us-census-tiger-2025-roads-34031,6444,22
us-census-tiger-2025-roads-34033,1991,91
us-census-tiger-2025-roads-34035,7875,493
us-census-tiger-2025-roads-34037,5779,489
us-census-tiger-2025-roads-34039,6926,34
us-census-tiger-2025-roads-34041,3300,1021
