source_id,accepted_features,rejected_records
us-census-tiger-2025-roads-36001,7938,761
us-census-tiger-2025-roads-36003,2957,406
us-census-tiger-2025-roads-36005,3104,233
us-census-tiger-2025-roads-36007,5087,647
us-census-tiger-2025-roads-36009,4445,1314
us-census-tiger-2025-roads-36011,3104,112
us-census-tiger-2025-roads-36013,4641,1509
us-census-tiger-2025-roads-36015,2529,178
us-census-tiger-2025-roads-36017,2811,691
us-census-tiger-2025-roads-36019,3339,621
us-census-tiger-2025-roads-36021,4522,1177
us-census-tiger-2025-roads-36023,1684,108
us-census-tiger-2025-roads-36025,4053,1449
us-census-tiger-2025-roads-36027,9397,2003
us-census-tiger-2025-roads-36029,13152,216
us-census-tiger-2025-roads-36031,3877,1183
us-census-tiger-2025-roads-36033,3270,795
us-census-tiger-2025-roads-36035,2140,418
us-census-tiger-2025-roads-36037,2068,172
us-census-tiger-2025-roads-36039,3608,1016
us-census-tiger-2025-roads-36041,1417,589
us-census-tiger-2025-roads-36043,3265,603
us-census-tiger-2025-roads-36045,5451,644
us-census-tiger-2025-roads-36047,3250,244
us-census-tiger-2025-roads-36049,1862,774
us-census-tiger-2025-roads-36051,2696,294
us-census-tiger-2025-roads-36053,2814,563
us-census-tiger-2025-roads-36055,12244,482
us-census-tiger-2025-roads-36057,2148,173
us-census-tiger-2025-roads-36059,20905,91
us-census-tiger-2025-roads-36061,1893,321
us-census-tiger-2025-roads-36063,3878,364
us-census-tiger-2025-roads-36065,6923,766
us-census-tiger-2025-roads-36067,10277,485
us-census-tiger-2025-roads-36069,3896,487
us-census-tiger-2025-roads-36071,12616,1252
us-census-tiger-2025-roads-36073,1538,155
us-census-tiger-2025-roads-36075,3867,865
us-census-tiger-2025-roads-36077,3827,831
us-census-tiger-2025-roads-36079,4035,463
us-census-tiger-2025-roads-36081,8003,294
us-census-tiger-2025-roads-36083,5780,965
us-census-tiger-2025-roads-36085,4632,40
us-census-tiger-2025-roads-36087,6656,174
us-census-tiger-2025-roads-36089,6279,1431
us-census-tiger-2025-roads-36091,7318,826
us-census-tiger-2025-roads-36093,2963,79
us-census-tiger-2025-roads-36095,2437,720
us-census-tiger-2025-roads-36097,1774,379
us-census-tiger-2025-roads-36099,1906,130
us-census-tiger-2025-roads-36101,6040,1022
us-census-tiger-2025-roads-36103,36784,1045
us-census-tiger-2025-roads-36105,6958,1468
us-census-tiger-2025-roads-36107,2211,499
us-census-tiger-2025-roads-36109,2507,403
us-census-tiger-2025-roads-36111,8932,909
us-census-tiger-2025-roads-36113,4064,1059
us-census-tiger-2025-roads-36115,3277,1005
us-census-tiger-2025-roads-36117,3490,557
us-census-tiger-2025-roads-36119,18476,372
us-census-tiger-2025-roads-36121,1623,188
us-census-tiger-2025-roads-36123,1743,246
