# source_sha256=bb2bbff8be3d637b38ed5d06277856c15f41ea262614edf974be8f4b96fdc791
identifier	owner_grid	duplicate_grid
000CB30F-E534-4610-99B5-03F1F8284FA9	SO	SP
00132CDA-8B21-4CEA-89E0-5B59CB827BA5	NH	NJ
0013FD59-268C-4F1A-B3C8-E8627DE712D8	NX	NY
001BE8D3-8599-4CD2-B223-396B463E8F96	TL	TQ
003B7F90-BB08-4306-9E80-AFD2F4A1BAD7	TF	TL
00521D4B-AD28-44F3-BF23-AFF1459465E4	NT	NU
0052B398-C390-450E-B085-9F2814E24B45	SN	SS
005E91A2-81C5-4ABB-87EE-D46F83DA8816	NY	NZ
006725E8-02F9-4F91-8214-8A8A7963DF53	SH	SJ
00695F63-BAD9-45B8-8949-D7BA4D184077	SD	SE
006B2A7E-C7D6-436A-83B8-5CDA4743F3A6	SU	SZ
00710635-AA49-47C7-92C3-95B8DE2D967E	SW	SX
00754893-4C08-4715-BA85-03D99D72E373	SD	SE
00933BA2-1028-4205-89A7-3884850383F1	SN	SS
0094F731-F8FA-451A-B2B9-2199952508E9	SN	SS
00A56F06-0959-496E-905F-1EEE481CD509	TL	TM
00B32FFB-AB87-4B69-B615-25B50A81AF3F	TL	TM
00B5700C-2BF0-44F5-897C-72690D439EDC	SU	SZ
00BCE1FF-6E2E-4A04-8FBF-54DD3F8388BD	TL	TQ
00C1F601-D240-4939-8D9C-B706ABE1B3B5	NC	NH
00C21B4F-F742-4056-8D64-0AE0934CA6A3	TA	TF
00CD979C-E74D-4FE5-BE6C-410749E675A4	TL	TM
00CF418D-032D-4860-8336-69B24EEDB42A	NS	NT
00D5876F-F329-4775-B097-EB40B432B55C	SX	SY
00DCD19D-AE78-4690-9942-B57A7454A6CB	SO	ST
00E889EE-B9A7-4D74-854F-840493949C99	NS	NT
00EC7287-F8D3-44D0-A201-5A0F0453B135	SD	SE
00EE983A-B1AD-4211-9C1B-D836FEED4923	SN	SS
00F49C0A-F0E7-4C27-A553-0D1EB36F540C	NU	NZ
00F678A3-6A13-49F8-9DD3-618953A7DD5C	SS	ST
0103FCEE-50F7-41AF-B71F-5D0BA9FE83E3	TF	TL
010A0A87-DE49-4AFC-ACCD-F1B4408F283F	SP	SU
010E9122-5A03-4EBD-8804-3959713FB5FD	ST	SY
01312F12-4B87-486C-9178-D877585B2AC9	SE	SK
013D8129-CE0E-4DF0-84CC-509168E1E3C7	SK	TF
01812D84-88EF-4569-A40D-EC660ACBDEE2	SD	SE
01813E64-7FAC-4498-B107-91AD4068D9EC	TL	TQ
0192B2FB-D68E-49E0-A3BF-E4A2D28DFE30	SP	TL
0196E795-1ED4-421B-A35F-C66CCB0A9163	SU	SZ
01C165B9-BCE8-4998-BD8F-390D0C9F3D9A	SU	TQ
01C392FD-7AE5-4E49-BB12-280B7C2A4314	TQ	TR
01D3C467-9295-432C-9391-A61127F3E2CA	SK	SP
01D64EF8-8D6C-4157-AE15-4ABE52D6D22A	SO	SP
01DD7A5F-8B60-4D19-859E-12ADB98E9EE1	SN	SS
01DE1CBD-7670-4F6E-9025-7FA79E6373FF	SS	ST
01DEE31F-B605-4EB3-8C00-CA46C89DE8F6	TG	TM
01E1D8BE-516A-4898-A994-C91F9C143B1F	TL	TM
01F0C91C-5227-4E88-81BD-61D281B0353A	NU	NZ
01F24450-1D98-451C-AD22-0BE0C81E30CC	NN	NS
01F6A1D2-2FC5-4462-A258-06A1F8180980	SO	SP
01F88CA0-B7E0-4F27-A180-337614AB8186	TG	TM
01FD82A5-C527-41FF-B078-F7A3A4A37AAE	SJ	SO
02106B88-E2A2-4C7F-9611-DEE1382316D9	TF	TL
0215D07A-43F5-437D-892E-C9FBD7877D82	SH	SN
021A11F9-F326-4FA9-B58C-CA5C79861354	SO	ST
021E9C42-A6D4-46EF-8FF5-1A43841D7078	SS	SX
02379EC5-4402-4F54-90C3-B82FCF32DF47	TL	TM
0238B275-BFCD-44C8-B003-85191432D579	SD	SJ
023EFC99-5C20-4241-9487-2AA8BFFABB15	SE	SK
024FB613-4F41-4277-A609-7DDF5DCCD861	SU	SZ
0272982B-C019-4077-B920-69EFB909006F	SU	SZ
02751642-83A9-451C-BBE0-76635B72F5DB	SJ	SO
028668F6-B04B-4F2D-BE67-4080D0C46A76	NZ	SE
028E63B4-B204-485C-BDC3-4C9D3FA381D6	NS	NX
029500D4-B763-4EDE-894E-1F77D6F92429	HY	ND
0298765C-7DFD-47C9-9583-98E4EC844600	TQ	TV
029C81ED-DF25-4707-9431-3BDDB6568042	NO	NT
02A93876-A8E2-43A7-BD00-C4B786168383	SH	SN
02AC5328-EFDC-4F31-BB42-0884B4EDB517	NS	NT
02BF071D-CA12-4E28-A20C-EB1F2617BD4A	SP	SU
02C30144-F2B0-4D1E-B1CE-2A908B3EC69E	SO	ST
02C381AA-32E7-403D-A596-2EFCE1E0675B	SO	SP
02CFA4EA-1A52-4287-9959-392E5A5591C1	SS	ST
02D328B0-2119-4F87-9B42-57203586BD5E	SE	SK
02D667A4-2560-40AB-9607-4DC7657E967D	SK	TF
02D98289-B39B-469B-A977-DEA50EC4F2A6	SO	ST
02DE1F95-0C06-4E6D-B258-AC3CFABFF73F	SJ	SK
02DEE8B1-F4A1-4C55-943C-50394F86360D	SO	SP
02E08DC9-53E6-4385-B7F6-6B59AEA554EC	NJ	NO
02E6F67C-9C39-49EB-8DE2-042C86101CDE	SD	SE
02E7C1E9-2D4B-40E4-B8EF-692E0DF11891	SJ	SK
0301B849-76F5-460D-BD97-BFFE4118BC8C	SO	SP
0305EC33-D9F8-4B0B-88EB-D17C0287A0B0	SU	SZ
030830C6-C4E4-4E82-B1CB-7841E52AD20C	NO	NT
030C1295-AAA9-45F3-BC72-0769409FD6DB	TF	TL
030D4CB6-CF76-4C8B-A05A-2FAF30A66D1E	ST	SY
030D7B01-28D1-4B22-98FB-F64E3700DEFA	SE	TA
0310197A-2136-4690-8A6B-D974DA26F625	SJ	SO
031CF4D1-3C5F-4A75-AFDA-42FFD5D6B7AD	SN	SO
0323D9BA-A107-41DD-94C9-F4B567F51813	SS	SX
032EEF8D-0331-4FAE-BCB2-4C8D54DE48C1	NJ	NK
036BA24C-57D4-4C7E-8C9A-5DC122B5B282	ST	SU
03715D35-5014-4FFE-8948-2C1859EFF30A	SX	SY
03778E50-5ED8-43EE-9EA5-C0CD0B2EB6DF	NN	NO
0377ABAE-31C1-41CA-9862-65EF262F67BA	SW	SX
037C4D35-A5A3-40A9-93EA-FC81D70BB877	SJ	SK
03811442-DD75-46BE-A1FD-55334F2DBDF9	SO	ST
03819BE6-F36E-4725-81EC-88A18272B16F	SU	TQ
03858ED0-F61A-4BB5-AF06-E29FA40DFE17	SN	SO
03891F3D-7DAE-4D47-BD84-1521299DC122	SH	SN
038BF567-A6BB-4BDD-8906-8926C3A86AE5	SU	SZ
0392D1E2-8379-49DE-9EB4-484D1B7CBB44	SD	SE
039A498D-A839-413C-966C-9C75F4A7B859	NN	NS
03A0BB35-0979-4E6A-B2CF-4153A417879A	SE	SK
03A174F2-E192-49D4-8C03-02F7550571FD	SM	SR
03A3E33D-4F13-4536-807F-0B51CCCBFD59	SU	TQ
03B9ABE6-9E9D-4DD1-88DB-00E10F01AECC	SO	SP
03C1FBB3-0EAA-4567-B418-A4739549A459	SE	SK
03D5AE16-56C0-43E4-BF29-FCD952F49B91	SD	SJ
03E2C86F-7183-47DC-994C-510A47F05335	SJ	SO
03F359CC-121D-4FFC-A8CF-BA244D78D55C	SK	TF
03F76559-C06C-4AF9-AC0C-170FDF76E4F6	SP	SU
03F9FB91-FEF6-428C-B409-5019EE5AC841	SK	SP
0400DF01-C88D-4D19-A542-7405BAF34F57	SJ	SO
04035F4B-5B39-4440-804D-5B56F87D2B67	SJ	SK
0408993F-5A98-47AA-AC0A-26AD3BBFBEFF	SU	TQ
0411A9A5-2BC7-42ED-BEA3-AEDC39454481	SD	SE
041501DB-5263-46D5-BECE-59B543A7AF55	SM	SR
0428871B-926D-4A0C-B798-AAB6A298E6E6	SU	TQ
0428ADC2-23D7-4DA3-94B0-C3FE493EEE73	TQ	TR
042F52B5-C071-4A97-A42D-A7C480B9FD72	NJ	NO
0430FC66-4282-457B-ACEB-B1021BCCE3FC	TQ	TV
043CD69A-BF17-4174-A5A7-89126EBE2516	SJ	SO
04430C3A-3D62-4A8E-8F5E-7941F4CD9C4F	NX	NY
0446AE0A-0C7C-44E2-967A-E8F24286ABDC	NM	NR
044EF3C7-579C-460E-8881-AEFAA0F44574	NS	NT
045993C2-97C1-43A1-B3CE-9ABF66B15886	SO	SP
046B0C11-9592-4762-B60C-C5DC332D6AD4	SN	SS
04717660-4300-4F7B-95EB-E297F4795CA3	SE	SK
047195F5-93FE-4423-848B-E9AF81B8DFCF	TL	TM
0480D9F7-98C4-443A-A482-7CFA84053704	ST	SY
04907455-4F38-4002-A460-FDE0A4B0C5B2	SD	SJ
0493EAD4-C2F9-4337-932B-E41BDCE402E6	SN	SO
04960AF0-2D32-4018-ABDF-27408633D4A7	ST	SU
049EBE6C-FD55-4DB8-98D4-457A2CA6EEAE	SP	TL
04A54AD0-4575-4A99-8307-32D4D8F47416	NJ	NO
04ABABCA-5C71-4297-B548-C41B730DD9F3	NM	NN
04B02CC7-FEFA-4689-8C8A-FB7019E98DF8	SJ	SK
04B6ABC6-4E18-436A-9214-4B9036848516	SD	SE
04BC8831-2840-47B2-B64B-006FD89C70E3	NS	NT
04BDAE3A-A82D-4E57-9A39-D9B9FD52A308	TL	TQ
04CF77A0-AE81-41FE-8566-9588A989C97F	SR	SS
04D8AA71-DC12-441B-AD26-B9F2B68BD892	NS	NT
04D98D15-0F99-4E7F-A67E-5DB3D11B1EDA	SO	ST
04DCE6D3-52DD-4AD8-ACB9-8A8A006B8B16	TL	TQ
04E7C213-02E2-4B35-9FB5-0CD4A213F79F	SD	SJ
04FC614B-03E4-445F-A66C-1B707FA82029	SJ	SK
0509BF8F-58E8-4954-A620-D8A477F385D6	NZ	SE
0510A73C-CBE9-4657-BCEC-E90917D37372	SP	TL
05264BF5-348C-4B49-9692-7FBCF66D8A37	SJ	SO
052842B3-EB52-4D2D-9630-ECE76749CBF2	TF	TG
0528F4E6-2C26-44C7-8AB0-162A1516E3A3	SJ	SK
052C17A3-611C-4298-A796-FE5E090438A0	SD	SE
05303698-91C5-4AB2-BC3D-3D6C5FFF91E7	SD	SJ
0534B19B-1150-4053-8BBF-C4CF1389A8B1	TG	TM
05403E70-9915-46E2-BE09-0CF70B3BBF25	NY	NZ
05434506-BD3B-48AD-AC43-4D3D0CA1E428	SD	SJ
054D6276-552C-441B-B494-CA54F6934E4E	TL	TM
0550A0F4-A918-4FF4-BD49-B440780C1425	SD	SJ
05529C41-8E72-44DF-B6DB-2D3A78AB55DF	SK	SP
05604B07-266D-4142-A4D0-E92838EA44AE	SS	ST
05620F32-4316-41A8-BEF9-FCA90F24F489	TF	TL
0562D585-99F3-4E23-9C87-795311B3F004	NY	SD
0566545E-8CC0-402E-9050-F1CDFD718C45	SY	SZ
056F052F-0BE2-4D9B-AE50-EA17062A8FDA	TF	TL
05782F6C-D549-4523-B984-FF14AB82FCFC	SO	ST
057D346F-F7CB-4147-9BFC-C357F8AF924F	TG	TM
057DD97A-5A55-4D64-9DCC-58DD022AE2E6	NS	NT
057EF48A-49BA-4ED5-874A-80D093269CF6	SO	ST
059A5EF9-3C20-45B1-B2E6-F847369380C1	NS	NX
059BCA5A-57A6-4B2E-97D9-E9F5870D5CCF	TF	TL
05A200A9-FF1C-4EC5-99E5-0180DAD5336C	NM	NN
05C82AFE-FFE2-43B5-B212-F782E941B2E6	NM	NN
05CA6B11-0AF7-4B9D-A790-70F45EBE0074	SO	SP
05D598BE-9A9B-4A64-B255-AD2F2DF598E2	SO	SP
05D8BC49-0577-4354-82E5-ADB598999B46	SO	ST
05DB6D56-08AB-42EE-BAF1-7F8E546133D0	NG	NH
05E06F13-E879-493F-BFD8-213F32D420E4	TL	TM
05ECF2A3-372D-4C32-91C6-6ECA5194926F	NN	NS
05F516D9-1D74-4735-ADD9-1B7852D7AB70	SK	SP
05F8E091-46DE-4095-86B5-351B7B17226C	TF	TG
05F933E2-7513-41DA-8D4D-3BA03A8279E8	SO	ST
05FEF27F-BE3A-483A-AB09-166DCB478210	SY	SZ
0602A69A-9353-4108-8D52-F7B70C68C65C	SU	SZ
062A9210-736F-4C30-90C1-C0CA46BFA3FC	NO	NT
063A0E39-0C3A-4671-8614-510C437FF26B	SD	SE
063C6FBE-E220-455C-87F6-BF31B2695D3C	SH	SJ
0645AE70-E792-4378-8830-83BFC57E71E0	SK	SP
064B0406-1124-4F04-954A-E32B3ACC9CE4	SK	SP
065D87FE-07BD-4F81-9A54-A835BFA23F4B	TL	TQ
065DEAAB-4C25-4323-B327-60C90D559393	NN	NO
0669FBDA-CCAF-48EC-9FEB-6F86AEB970A2	SU	TQ
066B4A14-4326-4EC6-8DD6-041CB23061EC	SK	SP
06736A08-E8C3-4813-BB31-1875345CBE50	SN	SS
0677E584-5788-4A1A-AD0C-7C57826F1ED4	SW	SX
0695E487-2E0E-4541-B009-2ADD53489A3C	SU	SZ
069D0D18-A033-467B-804B-C2273EADB819	SY	SZ
06A4BFED-C646-4376-9B07-721371821286	SX	SY
06A8A98B-5362-4194-BD92-5B5D7240A660	SK	SP
06A989AD-59FD-4A91-A575-81C4D516D116	NJ	NK
06B082BC-677C-4D35-897D-18F2B72ED8FD	TL	TQ
06B412FA-05E8-4BA3-AC2D-6DF3FE30FD6F	SO	ST
06B9EEB1-B548-4CC9-8388-459211505AC4	TQ	TV
06BD7321-CA4F-4C1C-95D4-2C96D077BACC	TQ	TR
06C19C32-5A89-424B-9E2E-8CD44B5F7DB3	SD	SJ
06C9D47D-2555-4633-9C5E-980E20B89445	NY	SD
06D4E465-4E20-42C4-9309-DAE40B0417A9	SD	SJ
06D82451-AEC5-4F00-A5F6-AEBECC309114	SU	TQ
06DFE641-29D1-47E4-AF77-2813F851011B	SP	TL
06F5CD72-B44A-49F2-B1DF-DE7CA900A8BF	SD	SJ
06FB81EB-1636-43A2-A36F-D91C87A6D937	TG	TM
07020B07-BF89-4315-8A64-2AC43339E128	SN	SS
070E8B7A-52B7-4939-8AF2-CFAA907F2FAA	ST	SU
0713D7DA-6CFF-4D57-BC3F-304AFCF79392	NS	NX
071CBC0A-96C2-4CF0-8624-880BFAFEADB7	SD	SJ
0732DDE0-91AD-4F03-BA61-820D3C6F13B9	SO	ST
07386098-247C-4EE7-8C7D-8086D1662BED	SP	TL
073E86AF-25E6-40AC-9F55-12268D05E743	SE	TA
0769753C-CA1C-4925-A340-063F249FD497	TQ	TR
076DE60B-ADA8-4AEC-BAA5-BDF767768015	SH	SJ
07759F7B-5251-4130-9582-6B7B678F8FB2	SW	SX
07806649-E552-4C48-9226-772CE6E35C24	SM	SN
079020F8-9D28-4191-BE54-7246F2B1363C	SS	SX
07903BF1-D0E2-41D8-916A-B80C55EB00D3	TQ	TV
07926ABD-4568-4F71-BEC9-D20FA63C761D	TA	TF
0797FBC2-DE0F-4999-A488-EA1167086E49	NT	NU
079B9E5A-6B73-419A-8E5A-0826853705E3	NJ	NO
079F9E61-B3AE-4367-993C-518505056496	SJ	SK
07A7AF45-B234-4E17-9AAB-18B83DCC987A	SN	SS
07AD1EF7-C30D-4B25-AA02-31AD7CBEC2A3	SD	SJ
07ED52B9-DC94-4CCA-9FE8-A13E936D0E6F	SW	SX
07F52518-670F-4908-8614-9816FC4F9210	SU	TQ
07F7AF01-0874-4E00-9559-5EEC150545CA	SO	ST
08023E27-7889-4C2E-A00F-5ECC3A97CB2A	NS	NT
0817A0FC-FDFF-4165-832C-3BFA452C24EF	NS	NT
081E5DAB-C021-4526-BC23-2865E489B9BC	TQ	TV
08274A3C-04E6-4494-B8E6-A22BCC39D25C	ST	SU
082BF775-2277-4DEF-A83F-8D63F172AE6C	SJ	SK
08387258-1D78-48BE-A55C-4819E6AABFB3	SS	ST
08400F91-7DA0-4AB1-B6B4-7DE36C323AE0	SJ	SO
08426D10-80E4-47B8-A0C9-017D97E59D1D	SJ	SO
084E2319-F5DB-4BD5-ADD8-141E56C64E5D	SM	SN
084E4E76-9921-4233-91AF-707749F24062	SH	SJ
084F2EF1-B33D-4F29-92A8-DDED81971028	SD	SE
08535A57-AC1B-4B60-A6DA-43CD1F9E0584	NY	NZ
0863D655-D2C3-4C91-A7A7-11AC269E6CA8	SP	SU
086D63A1-496D-44A3-86EE-6DDCE1AC3C3D	SD	SJ
